Pressure,PENZUE_clean_isotherms(Actual), PENZUE_clean_isotherms(RL),QIYDIN_clean_isotherms(Actual), QIYDIN_clean_isotherms(RL),QOZFUG_charged_isotherms(Actual), QOZFUG_charged_isotherms(RL),CAVPEW_manual_isotherms(Actual), CAVPEW_manual_isotherms(RL),DUBJUH_clean_isotherms(Actual), DUBJUH_clean_isotherms(RL),WICGEV_clean_isotherms(Actual), WICGEV_clean_isotherms(RL),GONNAA_clean_isotherms(Actual), GONNAA_clean_isotherms(RL),BEWWEH_clean_isotherms(Actual), BEWWEH_clean_isotherms(RL)
1000000,14.28944946,9.654488797,216.1870244,219.6220815,187.2063542,162.2714463,393.7835772,389.2890094,170.9665948,171.0867626,52.1395502,52.13950161,257.9239272,257.8796745,150.7991965,150.7803945
1100000,14.81050177,10.28901921,245.2799872,245.2799873,190.5933642,167.3267407,431.4384229,431.4384216,172.1421385,172.2584024,52.7600994,52.75935655,261.2177641,261.1690306,170.7585754,170.7585742
2088888.889,18.8416886,16.06856372,619.3324168,529.1367476,207.8628516,199.9570178,676.8074951,760.510739,178.7117966,178.7407887,56.72103661,56.72106635,278.6314258,278.631637,317.9629586,318.5979378
3077777.778,22.21148608,20.79072267,1050.068844,835.6098566,217.0591842,217.0591854,786.1033314,936.7460401,182.4897055,182.495842,59.40898908,59.40679993,289.1625229,289.1623521,384.4695672,384.8898607
4066666.667,24.94941215,24.35694059,1422.973659,1125.173007,224.6907562,227.0658694,842.2013036,1015.149627,185.3213991,185.3214366,61.52613221,61.51404886,297.2534149,297.1826189,415.1023823,415.0366166
5055555.556,26.98910855,26.85003269,1693.485289,1374.660446,230.9374761,233.0703019,874.7466885,1038.846316,187.3731495,187.3689082,63.14446657,63.12547082,303.2144021,303.0637883,431.4698964,431.2079694
6044444.444,28.36467434,28.43806239,1863.677583,1575.013675,235.546393,236.5852467,894.601276,1032.840118,188.7018952,188.6974956,64.30848735,64.29086083,307.2619885,307.0625512,441.2530146,441.0689865
7033333.333,29.16466815,29.30681583,1953.287462,1726.192851,238.4607435,238.4607403,906.4090985,1011.032616,189.3872121,189.3871528,65.07493911,65.06536996,309.6686615,309.4653584,447.2624112,447.262413
8022222.222,29.49657704,29.62690289,1984.276406,1832.91726,239.7975378,239.2159132,912.5339189,981.1786432,189.5232168,189.5287097,65.50558933,65.50555868,310.7144354,310.5499774,450.6559657,450.7993823
9011111.111,29.56585923,29.54166507,1989.161567,1901.83903,239.7641671,239.1861316,914.3889065,947.6508459,189.204053,189.2112743,65.65983711,65.66478262,310.65606,310.5633757,452.0097733,452.1662877
10000000,29.66558629,29.66558629,1999.910898,1999.910898,239.8970512,239.8970512,914.9314833,914.9314833,188.5158321,188.5158321,65.59090378,65.59090378,309.7156764,309.7156764,451.6831677,451.6831677
