X1,y
3.25,0.00802674
33250,25.49535431
4.375,0.010954127
5550,10.12790739
7033333.333,37.07933456
5.5,0.013752953
88.875,0.217236854
2088888.889,36.35448481
44.375,0.108275478
55.5,0.136272016
55500,14.01864642
1100000,100.1586762
33.25,0.012716151
7033333.333,186.7376614
10,0.003444974
443750,58.54448595
555,0.204774911
6.625,0.002323123
666.25,0.244373811
77750,17.92851588
888750,21.89889586
11,0.000449042
3.25,0.000145345
6662.5,0.2840933
33250,1.390089193
1100000,24.67494874
9011111.111,44.74701019
33.25,0.001530162
6044444.444,41.93932214
7033333.333,43.09360631
110000,4.330980831
443.75,0.018317735
221.25,0.008688466
6662.5,0.279523543
33.25,0.001364603
666250,18.53575813
777500,20.45897269
5.5,0.000239663
1000000,23.71005655
1100000,24.95260817
888750,166.4378458
11,0.002582839
3.25,0.000681184
6662.5,1.486543973
33250,7.359931823
1100000,195.3113749
9011111.111,418.2003314
33.25,0.007957747
6044444.444,389.334386
7033333.333,403.6965606
110000,9.748516136
7.75,0.000869421
332500,20.67631557
443.75,0.050441858
221.25,0.025626909
666250,30.61615414
777500,32.6296474
4437.5,0.500909568
1000000,35.56074177
1100000,36.5663895
888.75,0.272770191
5.5,0.001554226
2.125,0.00056258
7.75,0.002328959
4437.5,1.36070605
11,0.003428583
33250,9.572760707
1000000,116.6223738
22.125,0.007170592
6044444.444,272.1686026
888750,33.03277158
11,0.001270109
3.25,0.000369635
6662.5,0.722255768
33250,3.472215005
1100000,35.55615579
9011111.111,56.52936496
33.25,0.00358765
6044444.444,53.45561802
7033333.333,54.77307844
11000,1.212924152
55.5,0.006638718
110000,9.605746027
33250,3.472569384
66625,6.456187464
2.125,0.000188184
666250,28.51416108
6044444.444,51.26620188
777500,30.311924
77.75,0.009419542
888750,30.44569027
11,0.00125071
3.25,0.000364279
6662.5,0.737647339
33250,3.385471112
1100000,32.67184199
9011111.111,51.51986891
33.25,0.003702343
6044444.444,48.55773944
7033333.333,49.80687932
110000,9.134633139
221250,14.53790221
6044444.444,46.321588
55500,5.322722073
443750,22.03425208
555000,24.45769839
44.375,0.004843846
7775,0.822838015
332.5,0.037137256
1000000,30.23317929
1000000,20.53447681
2.125,4.51124E-05
7775,0.189199827
3077777.778,44.47265226
332500,7.694986809
6.625,0.000158611
66625,1.612818973
44.375,0.000978711
7033333.333,66.58809944
3.25,6.8203E-05
110000,18.18685663
221250,28.21351958
6044444.444,56.13056704
55500,10.97922344
443750,36.00891893
555000,38.16153492
44.375,0.011692029
7775,1.975991884
332.5,0.087767885
1000000,44.36974145
6662.5,6.604962337
22125,19.25712781
55.5,0.056328553
221250,80.57548607
44375,33.67148102
77750,49.28100948
2.125,0.002168298
777500,108.3164368
7033333.333,126.7456369
888750,110.4474481
888750,107.3033788
11,0.004317431
3.25,0.001414119
6662.5,2.506428151
33250,11.89871821
1100000,114.5004812
9011111.111,167.1154896
33.25,0.012599771
6044444.444,159.3805256
7033333.333,162.6137007
888.75,0.084718049
5.5,0.000503293
2.125,0.000206043
7.75,0.000762191
4437.5,0.426682243
11,0.001146306
33250,3.154659055
1000000,58.81096143
22.125,0.002178428
6044444.444,115.5438732
44375,29.65729356
55500,36.49268919
7.75,0.005804597
6662.5,4.979491916
1000000,133.1660324
100,0.076333647
7775,5.805526563
332500,106.7341581
100000,58.68469864
5.5,0.004175443
110000,22.31520748
11000,3.119960953
666250,51.22425663
332500,39.93035009
1000,0.296894103
2.125,0.000539371
33250,8.684339041
666.25,0.200032186
4.375,0.001229709
2088888.889,66.6703875
110000,22.58778282
443.75,0.107441266
221.25,0.054274875
6662.5,1.56013461
33.25,0.007724312
666250,61.5614307
777500,64.30976141
5.5,0.001407534
1000000,68.39806366
1100000,69.81889527
888750,33.73568648
11,0.001499872
3.25,0.000416788
6662.5,0.927681101
33250,4.327130622
1100000,35.31229496
9011111.111,46.86820422
33.25,0.004676738
6044444.444,45.00746553
7033333.333,45.81547453
666.25,0.0290904
11,0.00050118
5.5,0.000254024
5550,0.238825277
9011111.111,36.74174122
33.25,0.001340263
100,0.004299266
2212.5,0.096346798
77750,3.090961395
443750,13.48933975
888750,38.78955814
11,0.001685865
3.25,0.000467956
6662.5,0.946217578
33250,4.53558626
1100000,40.673033
9011111.111,50.12315392
33.25,0.005046093
6044444.444,49.08082186
7033333.333,49.5514487
888750,98.99984281
555,0.108594509
1100000,109.4073716
5055555.556,166.3310247
6044444.444,171.7263379
2088888.889,136.4976977
5.5,0.001097738
2.125,0.000417079
22125,4.304701149
110000,20.20409169
666.25,0.640282914
11,0.010778007
5.5,0.005473895
5550,5.149911957
9011111.111,128.2368291
33.25,0.031900083
100,0.096832088
8887.5,8.064423006
77750,46.06499013
443750,87.58109382
110000,44.61258831
443.75,0.276047902
221.25,0.129267441
6662.5,4.092756263
33.25,0.021044145
666250,95.48475767
777500,99.57116175
5.5,0.003564149
1000000,106.1317058
1100000,108.5616275
666.25,0.050060631
11,0.00092778
5.5,0.000485975
5550,0.413988
9011111.111,8.614597294
33.25,0.002673407
100,0.007976162
2212.5,0.170307074
77750,3.494809766
443750,6.933486738
33250,22.42809606
332.5,0.286871584
1100,0.930291625
666.25,0.553488706
77750,40.52259601
66.625,0.058542877
777500,91.38570274
332500,76.56705562
888.75,0.743935229
2.125,0.001815998
888.75,0.220475772
5.5,0.001278928
2.125,0.000574675
7.75,0.001927585
4437.5,1.088064925
11,0.002857933
33250,8.052316447
1000000,129.4471804
22.125,0.00543491
6044444.444,226.5846476
110000,8.298077511
221250,14.18824564
6044444.444,42.56692524
55500,4.525582676
443750,21.34890127
555000,23.74470164
44.375,0.003943875
7775,0.684930139
332.5,0.028138487
1000000,29.69196202
888750,120.6411981
11,0.002123267
3.25,0.00062683
6662.5,1.133148421
33250,5.586132445
1100000,143.6418359
9011111.111,431.6928393
33.25,0.005867253
6044444.444,384.5368357
7033333.333,404.270058
888750,115.6327132
11,0.001847895
3.25,0.000571943
6662.5,1.172510679
33250,5.754640487
1100000,133.9531397
9011111.111,327.330274
33.25,0.00595621
6044444.444,298.88748
7033333.333,311.5630081
44375,14.25771527
55500,16.48246587
7.75,0.003780358
6662.5,3.050617858
1000000,42.69926328
100,0.048875761
7775,3.519767506
332500,34.49285254
100000,22.76676591
5.5,0.002704451
22125,5.040448657
33250,7.48806376
44375,9.789444584
55500,11.8631009
66625,13.69750088
77750,15.31429213
88875,16.74494458
100000,18.02030098
110000,19.05618473
221250,26.64366864
110000,18.83949159
443.75,0.107435036
221.25,0.051927512
6662.5,1.596048544
33.25,0.007636216
666250,34.68881167
777500,35.47454133
5.5,0.001275067
1000000,36.8130187
1100000,37.3167243
888.75,0.221823557
5.5,0.001462048
2.125,0.000454202
7.75,0.002043107
4437.5,1.102412231
11,0.002830191
33250,7.996934186
1000000,116.0369909
22.125,0.005550561
6044444.444,219.6008287
888750,80.42320368
11,0.000918971
3.25,0.000287693
6662.5,0.638421966
33250,3.189736219
1100000,99.33973249
9011111.111,528.3346517
33.25,0.003043439
6044444.444,417.6223124
7033333.333,461.0970525
1000000,106.6677321
2.125,0.000423944
7775,1.162345461
3077777.778,244.2451692
332500,41.62688299
6.625,0.001236465
66625,9.582356087
44.375,0.00697994
7033333.333,411.9306673
3.25,0.000649397
888.75,0.169326961
5.5,0.001381745
2.125,0.00061332
7.75,0.001835648
4437.5,0.83356456
11,0.002462345
33250,6.23379617
1000000,135.2011995
22.125,0.004597683
6044444.444,339.9115255
1000000,146.2709328
2.125,0.000295016
7775,1.649149609
3077777.778,276.4389233
332500,60.77747491
6.625,0.001421204
66625,13.84607318
44.375,0.009827127
7033333.333,372.0587442
3.25,0.000578473
888.75,0.151423687
5.5,0.000905964
2.125,0.000223498
7.75,0.001275632
