Pressure,QITMOW_clean_isotherms(Actual), QITMOW_clean_isotherms(RL),LAXGOH03_clean_isotherms(Actual), LAXGOH03_clean_isotherms(RL),MOCJEU_clean_isotherms(Actual), MOCJEU_clean_isotherms(RL),UJOJEK01_clean_isotherms(Actual), UJOJEK01_clean_isotherms(RL),MIMVEJ_clean_isotherms(Actual), MIMVEJ_clean_isotherms(RL),QUXRUY_clean_isotherms(Actual), QUXRUY_clean_isotherms(RL),KAXQIL_clean_isotherms(Actual), KAXQIL_clean_isotherms(RL),VOKJIQ_clean_isotherms(Actual), VOKJIQ_clean_isotherms(RL)
666.25,0.000337885,0.000337885,0.000582833,0.00051001,4.80989E-05,7.68554E-05,5.62266E-05,5.90931E-05,3.064910887,3.064913873,3.552093639,3.532893354,3.30391826,3.294172433,31.51526988,31.62900225
777.5,0.000382827,0.000399345,0.000704401,0.000612884,7.21484E-05,8.29375E-05,4.60036E-05,7.05972E-05,3.566932127,3.567943201,4.090703997,4.071248402,3.810976827,3.803682404,34.09387505,34.19231465
888.75,0.000466538,0.000461573,0.0008395,0.000719238,9.01854E-05,9.01854E-05,5.62266E-05,8.13584E-05,4.066995431,4.066991242,4.607387991,4.594755853,4.299770591,4.299770421,36.3015524,36.35753689
1000,0.000578692,0.000524341,0.000980864,0.000828224,7.81607E-05,9.86555E-05,9.20071E-05,9.20071E-05,4.564198468,4.561559682,5.103538664,5.103538909,4.77095863,4.782300831,38.20324264,38.20324144
1100,0.000686206,0.000581088,0.001107491,0.000927927,8.41731E-05,0.000107176,9.20071E-05,0.000101773,5.008027368,5.002015403,5.533594959,5.548485995,5.180346859,5.204507995,39.69337274,39.63976713
2212.5,0.001000099,0.001217051,0.002153117,0.002086646,0.000144297,0.000220715,0.000240241,0.000226224,9.670752721,9.623723475,9.61711229,9.785215075,9.050238117,9.230731357,48.44781853,48.15722899
3325,0.00166782,0.001846097,0.00322489,0.003267928,0.000294606,0.000328289,0.000342471,0.000357327,13.82305255,13.77486063,12.82460485,12.982366,12.06518934,12.28349892,51.52983619,51.37877897
4437.5,0.002383304,0.002465883,0.00448621,0.004445662,0.00039381,0.000424537,0.00043959,0.000485265,17.56593359,17.53705354,15.36376598,15.45408207,14.49188002,14.66387237,53.06915567,53.02906402
5550,0.002813813,0.003078403,0.005646699,0.005614929,0.000414853,0.000512362,0.000598046,0.000609837,20.98457524,20.97451356,17.37697594,17.41123469,16.46990276,16.56907994,54.03984322,54.0398542
6662.5,0.003232843,0.003685397,0.006638383,0.006774543,0.000592218,0.000593967,0.0005776,0.000731826,24.13441901,24.13445495,18.99032446,18.99335576,18.09881245,18.12731406,54.73414703,54.73413683
7775,0.003786724,0.004288034,0.007545978,0.007924219,0.000592218,0.000670824,0.000787172,0.000851959,27.05305799,27.05302033,20.3031976,20.29498982,19.45411181,19.42463368,55.26288037,55.24887297
8887.5,0.004460925,0.004887042,0.008459217,0.009063959,0.000607249,0.000743941,0.000904737,0.000970804,29.76799016,29.75900808,21.38919463,21.38203189,20.5934426,20.52081778,55.67863321,55.65094781
10000,0.005178553,0.005482846,0.009425866,0.010193905,0.000691422,0.000814037,0.001124531,0.00108879,32.30072508,32.27606496,22.30164235,22.30163999,21.56086854,21.45867128,56.01157096,55.97669984
11000,0.005795765,0.006015853,0.010350248,0.011201427,0.000814675,0.000874906,0.001206316,0.00119438,34.43648995,34.39377543,23.00576415,23.01405044,22.31180709,22.19268357,56.25660365,56.22227028
22125,0.010425362,0.011783059,0.021344562,0.0219893,0.001845795,0.001473624,0.002289955,0.002369059,51.74947843,51.5091543,27.20714917,27.23829414,26.78652077,26.71629778,57.42382216,57.60213529
33250,0.017015578,0.017241199,0.031829237,0.032402778,0.002612372,0.002006404,0.003235584,0.003539333,62.03313794,61.77292476,28.87627015,28.8824574,28.56853212,28.56853318,57.76533783,58.0713486
44375,0.022464449,0.022464449,0.042689171,0.042854269,0.003466127,0.002516107,0.004646359,0.004646359,68.81229674,68.6288392,29.74804029,29.74804671,29.53311707,29.55448749,57.95434094,58.25733288
55500,0.027071223,0.02757543,0.053457978,0.053457978,0.004590439,0.003018911,0.005781114,0.00567545,73.63791443,73.55135394,30.28276009,30.28531949,30.14145136,30.16108459,58.08061997,58.3289776
66625,0.032201878,0.032672278,0.064149045,0.064149045,0.005188669,0.003523076,0.00665007,0.006657035,77.27484231,77.27484771,30.64985619,30.65492923,30.5612316,30.57152424,58.16712539,58.35024723
77750,0.037813824,0.037813824,0.074813626,0.074809856,0.006144635,0.004033585,0.008301087,0.007624108,80.13681779,80.20451875,30.92221844,30.92736506,30.86895741,30.86895597,58.22623267,58.34902276
88875,0.043435257,0.043027863,0.085338067,0.085338066,0.007001396,0.004553793,0.00872023,0.008598272,82.46501533,82.58148032,31.13505029,31.13816949,31.10486641,31.0960696,58.26665021,58.33841397
100000,0.048785234,0.048322206,0.095622298,0.095670594,0.007653738,0.005086146,0.009747643,0.009591721,84.40883777,84.55785119,31.30717997,31.30717446,31.29223932,31.27680268,58.29460789,58.32482831
110000,0.053349705,0.053146745,0.104682714,0.104771424,0.008615716,0.005576596,0.011797357,0.010506585,85.90902439,86.07614847,31.43637688,31.43337655,31.43124041,31.41163146,58.31271547,58.31271601
221250,0.108530007,0.108530007,0.213187253,0.200425793,0.017919847,0.012036034,0.020471584,0.022126882,95.26581339,95.36426082,32.13442547,32.13442617,32.23966606,32.2255997,58.40117577,58.29253662
332500,0.159689361,0.161811533,0.31342199,0.303849333,0.026373229,0.020642759,0.034528227,0.034528227,99.59983876,99.59983384,32.38700008,32.40588113,32.66563541,32.66508837,58.46259039,58.38963542
443750,0.211259862,0.211259862,0.417767199,0.417767201,0.033912732,0.031043125,0.041822347,0.045813012,102.2322985,102.1956189,32.54723491,32.56084191,32.99417189,32.99737303,58.50128667,58.50128633
555000,0.270405671,0.257903853,0.534473661,0.534473658,0.042158687,0.042158687,0.056569043,0.056030106,104.0400353,104.0030434,32.67921427,32.67203369,33.27168879,33.27428876,58.52186349,58.59950349
666250,0.322554601,0.303011044,0.644321683,0.648130301,0.051219318,0.052929345,0.066055999,0.065370415,105.3784036,105.3573337,32.796278,32.76454272,33.51408138,33.51517268,58.53261891,58.67949605
777500,0.367588224,0.347567497,0.743351357,0.756482321,0.060505412,0.062670244,0.078083374,0.073794392,106.4231223,106.423125,32.90190547,32.84855029,33.72989028,33.72990178,58.53899819,58.74262977
888750,0.415785745,0.392261014,0.8408876,0.859673781,0.067347481,0.071019541,0.081293401,0.081293401,107.2719148,107.2924858,32.9977969,32.92853274,33.92477758,33.92445275,58.54381341,58.79162387
1000000,0.472192073,0.437553924,0.945080023,0.95893329,0.077902184,0.077902184,0.099352353,0.087990922,107.9835854,108.0215041,33.08540098,33.00651922,34.10283513,34.10282081,58.5483166,58.82917067
1100000,0.527698966,0.47903215,1.04603617,1.046036171,0.084729221,0.082973281,0.106442013,0.093498998,108.5374524,108.5872469,33.15821565,33.07567457,34.25107389,34.25170424,58.55248231,58.85506337
2088888.889,0.943004127,0.943004128,1.931340867,1.944270706,0.155136995,0.116012878,0.195566242,0.146091989,112.0116381,112.0096848,33.72714341,33.72714491,35.36826544,35.36826916,58.59569864,58.91614892
3077777.778,1.365719402,1.48777134,2.749065677,3.006459411,0.224065727,0.161388509,0.284782478,0.219179544,114.1179273,113.934191,34.2148032,34.29351069,36.17392863,36.14550172,58.63020918,58.87696672
4066666.667,1.732892326,2.05090057,3.621125091,4.134941444,0.290333989,0.227993093,0.379294234,0.318200204,115.6757941,115.3268479,34.66724981,34.76352144,36.82160257,36.75495741,58.66419519,58.83660272
5055555.556,2.155525952,2.567826868,4.323702327,5.19529195,0.361180665,0.315058585,0.45697891,0.438680039,116.8810514,116.4302132,35.0700105,35.14795588,37.35915488,37.26127097,58.70010414,58.8085958
6044444.444,2.494162992,2.994092876,4.982621596,6.095551698,0.415382115,0.415382115,0.558094734,0.567400639,117.8213555,117.3409925,35.41340357,35.46086506,37.81038759,37.69644144,58.73438867,58.79214738
7033333.333,2.745051608,3.309850854,5.7182087,6.793571914,0.466015227,0.513674437,0.613058765,0.68452596,118.5510257,118.1094296,35.69573416,35.71478458,38.19079431,38.07891408,58.76283457,58.7842999
8022222.222,3.006088579,3.51520732,6.506836169,7.285188103,0.536419994,0.590926378,0.659772823,0.770867379,119.1090213,118.7662781,35.92001851,35.9200139,38.51184937,38.42042157,58.78233136,58.782332
9011111.111,3.317648066,3.622607415,7.227376501,7.589093643,0.573855971,0.63323828,0.753952332,0.815726052,119.5251673,119.3324244,36.09144196,36.08483796,38.7825719,38.72896019,58.79105065,58.78413969
10000000,3.650007392,3.650007389,7.734568904,7.734568898,0.637899658,0.637899657,0.819660748,0.819660748,119.8230484,119.8230481,36.21590394,36.21590749,39.0102653,39.0102653,58.7881821,58.78818152
